,arbeitslose,oStellen,ipiAuf,ipi,ifo,baug,ausfuhr,cpiNRW,gdpDE,gdpNRW,,,,
01/01/2005,1033.8,49.4,99.5,108.3,-1.2,164.8,11844.8,81.23333333,83.4,100.525782,,,,
01/04/2005,1059.8,52.5,97.3,107.7,-8.0,162.9,11778.2,81.5,83.86,100.525782,,,,
01/07/2005,1069.1,56.4,101.9,107.6,1.6,175.4,12114.8,81.96666667,84.55,100.525782,,,,
01/10/2005,1067.6,60.0,105.4,110.3,8.7,167.7,12329.4,82.2,84.87,100.525782,,,,
01/01/2006,1051.4,63.4,105.4,110.6,14.8,215.6,12584.1,82.4,85.82,103.5080904,,,,
01/04/2006,1034.7,71.0,106.5,112.7,17.7,169.2,12909.2,82.83333333,87.28,103.5080904,,,,
01/07/2006,1004.7,80.6,107.4,112.4,17.6,151.6,13461.6,83,87.96,103.5080904,,,,
01/10/2006,957.0,85.4,112.1,114.7,22.7,122.3,14241.6,83.06666667,89.24,103.5080904,,,,
01/01/2007,901.8,93.5,115.1,117.7,24.3,104.1,14450.6,83.66666667,89.36,107.1266256,,,,
01/04/2007,864.7,95.4,115.1,117.0,27.5,115.1,14643.7,84.46666667,89.95,107.1266256,,,,
01/07/2007,837.0,91.7,113.9,117.4,25.6,116.6,14570.0,84.83333333,90.4,107.1266256,,,,
01/10/2007,815.3,87.8,122.0,117.4,22.1,107.5,14702.0,85.46666667,91.07,107.1266256,,,,
01/01/2008,776.80,86.82,120.12,121.75,19.14,113.97,14769.2,86.03333333,91.62,108.2722827,,,,
01/04/2008,761.55,87.85,114.31,122.17,15.03,109.23,14548.1,86.7,91.29,108.2722827,,,,
01/07/2008,749.80,88.83,108.43,116.88,4.46,99.65,14366.5,87.26666667,90.79,108.2722827,,,,
01/10/2008,749.48,83.76,88.23,109.10,-13.42,91.64,13335.2,86.76666667,89.39,108.27,,,,
01/01/2009,771.94,73.94,72.84,94.51,-24.47,94.60,11257.2,86.63333333,85.19,102.48,,,,
01/04/2009,809.03,64.73,73.84,93.81,-22.03,99.17,11073.6,86.9,85.42,102.48,,,,
01/07/2009,816.98,63.59,81.94,96.32,-8.77,101.74,11398.5,86.96666667,85.93,102.48,,,,
01/10/2009,812.31,66.35,84.73,99.20,-1.09,107.33,11921.6,87.03333333,86.6,102.48,,,,
01/01/2010,803.02,69.01,90.53,99.66,0.58,92.11,12414.1,87.36666667,87.22,105.03,,,,
01/04/2010,782.24,75.88,98.35,103.18,11.14,94.88,13363.3,87.73333333,89.12,105.03,,,,
01/07/2010,771.24,83.41,97.43,105.47,20.81,101.74,13523.3,87.76666667,89.98,105.03,,,,
01/10/2010,760.04,88.82,99.30,107.13,26.65,98.17,13819.7,88.26666667,90.57,105.03,,,,
01/01/2011,748.01,96.50,103.00,108.89,27.18,111.34,14706.1,89,92.21,107.81,,,,
01/04/2011,730.90,102.94,106.59,108.72,25.86,108.80,14774.6,89.6,92.46,107.81,,,,
01/07/2011,719.88,106.35,98.15,109.48,18.75,99.06,14738.3,89.96666667,92.96,107.81,,,,
01/10/2011,714.12,110.44,95.96,107.41,13.44,118.90,14284.6,90.2,92.96,107.81,,,,
01/01/2012,719.00,108.63,97.87,107.06,17.28,100.45,14978.4,90.8,93.16,107.56,,,,
01/04/2012,731.76,107.13,95.48,106.92,16.84,97.00,15070.3,91.16666667,93.25,107.56,,,,
01/07/2012,737.18,104.53,94.98,107.06,8.28,101.29,15190.3,91.6,93.45,107.56,,,,
01/10/2012,744.14,99.60,93.87,105.95,6.48,92.82,15096.3,91.93333333,93.14,107.56,,,,
01/01/2013,752.10,96.63,95.50,106.06,11.80,100.62,15360.4,92.23333333,92.62,107.6526331,,,,
01/04/2013,760.60,92.07,96.68,105.36,10.42,107.19,14996.8,92.6,93.74,107.6526331,,,,
01/07/2013,764.47,90.92,96.39,105.12,14.27,105.44,14725.7,93.26666667,94.21,107.6526331,,,,
01/10/2013,772.68,91.05,96.25,107.27,16.39,106.27,14851.51624,93.43333333,94.32,107.6526331,,,,
01/01/2014,770.30,93.55,97.10,106.78,20.86,102.23,14979.55411,93.7,95.31,110.04,,,,
01/04/2014,766.87,98.04,93.03,102.87,17.34,101.74,14766.92603,93.96666667,95.34,110.04,,,,
01/07/2014,761.58,101.11,95.81,103.88,12.23,95.73,15084.03784,94.26666667,95.83,110.04,,,,
01/10/2014,752.48,105.05,91.92,103.95,10.52,87.81,15040.77538,94.06666667,96.54,110.04,,,,
01/01/2015,747.03,108.64,93.00,104.10,14.61,97.61,14942.96653,93.66666667,96.32,111.90,,,,
01/04/2015,746.83,114.04,94.27,105.27,17.61,105.39,15294.87541,94.83333333,96.91,111.90,,,,
01/07/2015,742.60,117.79,92.51,104.33,16.73,109.94,15102.99365,95,97.36,111.90,,,,
01/10/2015,738.99,124.61,91.74,104.40,17.71,109.61,14902.94901,94.5,97.81,111.90,,,,
01/01/2016,735.37,129.38,90.96,103.33,13.77,126.95,14650.63652,94,98.76,113.13,,,,
01/04/2016,728.03,133.67,94.38,104.77,17.37,101.19,14873.05874,94.96666667,99.08,113.13,,,,
01/07/2016,720.76,136.04,90.53,103.53,17.47,99.80,14867.34038,95.43333333,99.38,113.13,,,,
01/10/2016,716.90,140.28,94.02,104.73,20.23,104.22,15151.32162,95.4,99.78,113.13,,,,
01/01/2017,714.02,144.42,96.19,105.27,22.37,98.40,15373.89779,95.56666667,100.97,116.23,,,,
01/04/2017,704.93,151.56,96.09,105.83,26.60,92.05,15977.89577,96.33333333,101.85,116.23,,,,
01/07/2017,696.65,158.90,97.55,107.07,27.16,90.64,15821.67362,96.93333333,102.56,116.23,,,,
01/10/2017,687.37,164.34,101.68,108.60,27.20,95.67,16373.34598,96.66666667,103.54,116.23,,,,
01/01/2018,674.13,166.58,97.26,108.03,26.09,94.33,16348.01387,96.7,103.04,117.73,,,,
01/04/2018,653.63,168.30,98.33,107.87,22.33,99.23,16608.39296,97.9,103.79,117.73,,,,
01/07/2018,637.56,172.63,95.39,104.97,23.87,104.41,16445.09994,98.73333333,103.04,117.73,,,,
01/10/2018,636.07,172.08,94.96,105.73,21.58,91.44,16454.88938,98.6,103.69,117.73,,,,
01/01/2019,635.87,169.68,92.93,104.23,16.24,94.56,16308.41133,98.16666667,104.27,117.94,,,,
01/04/2019,630.51,168.84,92.87,103.67,13.71,96.02,16311.08138,99.73333333,104.34,117.94,,,,
01/07/2019,632.78,162.02,88.60,102.30,8.24,99.13,16097.49612,100.2333333,104.62,117.94,,,,
01/10/2019,641.66,151.90,87.34,101.30,8.16,102.78,16052.28831,100,104.58,117.94,,,,
01/01/2020,651.04,147.21,89.19,100.43,0.55,93.08,15387.29163,100.2333333,102.28,113.74,,,,
01/04/2020,746.96,126.56,74.82,84.63,-28.50,99.11,12806.70266,100.4666667,93.18,113.74,,,,
01/07/2020,773.11,119.09,88.12,93.90,-2.81,95.33,14836.493,99.6,101.29,113.74,,,,
01/10/2020,763.19,122.69,95.87,99.47,1.86,99.55,15433.60579,99.76666667,102.44,113.74,,,,
01/01/2021,762.17,124.18,99.76,100.70,2.13,124.34,16032.74172,101.6333333,101.3,116.24,,,,
01/04/2021,735.54,135.68,99.56,100.17,14.86,92.10,16636.84867,102.7,103.88,116.24,,,,
01/07/2021,696.75,151.87,100.27,97.00,19.30,95.08,16889.08606,103.6666667,103.92,116.24,,,,
01/10/2021,677.28,160.91,100.40,98.73,14.33,88.48,17554.51595,104.5,104.56,116.24,,,,
01/01/2022,659.10,170.60,97.45,98.27,7.18,102.36,19073.57019,106.7333333,104.75,116.55,,,,
01/04/2022,648.18,174.61,93.68,97.07,4.02,88.63,19920.55061,109.7,104.73,116.55,,,,
01/07/2022,674.64,169.65,91.43,95.57,-7.87,81.75,19778.84734,111.5,105.35,116.55,,,,
01/10/2022,691.95,161.78,89.75,94.90,-9.78,69.67,19924.21461,113.7333333,104.81,116.55,,,,
01/01/2023,699.94,156.80,85.09,96.00,2.43,55.79,19548.17363,115.1666667,104.96,114.99,,,,
01/04/2023,707.42,151.56,88.71,93.73,-1.29,52.61,19188.61288,116.5,104.8,114.99,,,,
01/07/2023,708.31,145.84,85.96,91.47,-11.40,46.35,18683.82047,117.3666667,105,114.99,,,,
01/10/2023,725.01,140.99,83.14,89.57,-9.87,45.00,18531.62983,117.3666667,104.61,114.99,,,,
01/01/2024,733.71,141.96,81.69,91.93,-10.53,45.95,18490.41317,118.2,104.86,114.48,,,,
01/04/2024,743.87,137.60,81.16,89.20,-5.69,43.38,18685.21502,119.2333333,104.55,114.48,,,,
01/07/2024,755.78,132.82,79.38,89.20,-10.20,47.75,18403.71558,119.5333333,104.66,114.48,,,,
01/10/2024,765.96,132.91,80.45,88.53,-13.27,44.08,18399.8644,119.8333333,104.45,114.48,,,,
01/01/2025,777.29,132.37,81.32,89.50,-14.20,50.63,18835.52191,120.4666667,104.88,,,,,
01/04/2025,779.03,132.06,,,-11.30,,,,,,,,,
01/07/2025,,,,,,,,,,,,,,
01/10/2025,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
